"sku_root","title","composer_id","lot","created_at","has_mix_stems","has_b2","local_audio_count","issues"
"R93c0034","Midnight Rust","R93c","260708_TEXAS WIVES_3","2026-07-14","yes","yes","6",""
"R93c0044","Mistreated","R93c","260708_TEXAS WIVES_3","2026-07-14","yes","yes","6",""
"R93c0054","Muddy River","R93c","260708_TEXAS WIVES_3","2026-07-14","yes","yes","6",""
"R93c0064","Pick Me Up Baby","R93c","260708_TEXAS WIVES_3","2026-07-14","yes","yes","7",""
"R93c0074","True Grit","R93c","260708_TEXAS WIVES_3","2026-07-14","yes","yes","6",""
"S13a4154","After Champagne","S13a","260707_TEXAS WIVES_2","2026-07-08","yes","yes","8",""
"S13a4164","Canyon Smoke","S13a","260707_TEXAS WIVES_2","2026-07-08","yes","yes","7",""
"S13a4174","Country Couture","S13a","260707_TEXAS WIVES_2","2026-07-08","yes","yes","7",""
"S13a4184","On The Dark Horizon","S13a","260707_TEXAS WIVES_2","2026-07-08","yes","yes","7",""
"S13a4194","Diamond Dust","S13a","260707_TEXAS WIVES_2","2026-07-08","yes","yes","9",""
"S13a4204","Dust Never Sleeps","S13a","260707_TEXAS WIVES_2","2026-07-08","yes","yes","7",""
"S20d0944","Desert Whammy","S20D","260707_TEXAS WIVES_2","2026-07-08","yes","yes","5",""
"S20d0954","De Twangled","S20D","260707_TEXAS WIVES_2","2026-07-08","yes","yes","6",""
"S20d0964","Econolane","S20D","260707_TEXAS WIVES_2","2026-07-08","yes","yes","8",""
"S20d0974","Herban Texas","S20D","260707_TEXAS WIVES_2","2026-07-08","yes","yes","9",""
"S20d0984","Ennio One Will Do","S20D","260707_TEXAS WIVES_2","2026-07-08","yes","yes","6",""
"S20d0994","Nice Melons","S20D","260707_TEXAS WIVES_2","2026-07-08","yes","yes","8",""
"S20d1004","Nunzio The Outlaw","S20D","260707_TEXAS WIVES_2","2026-07-08","yes","yes","8",""
"S20d1014","Party Texas Style","S20D","260707_TEXAS WIVES_2","2026-07-08","yes","yes","9",""
"S20d1024","Rockin","S20D","260707_TEXAS WIVES_2","2026-07-08","yes","yes","8",""
"S20d1034","Sexxy Texy","S20D","260707_TEXAS WIVES_2","2026-07-08","yes","yes","7",""
"S20d1044","Texas Rattler","S20D","260707_TEXAS WIVES_2","2026-07-08","yes","yes","7",""
"S20d1054","Twainy Lainey","S20D","260707_TEXAS WIVES_2","2026-07-08","yes","yes","8",""
"S20d1064","Slidin' Into Your EDMs","S20D","260708_TEXAS WIVES_3","2026-07-14","yes","yes","0","NO AUDIO IN SHIPPING"
"S20d1074","Texas Trance","S20D","260708_TEXAS WIVES_3","2026-07-14","yes","yes","0","NO AUDIO IN SHIPPING"
"S33a48854","Barefoot Mornings","S33a","260701_TEXAS WIVES_1","2026-07-02","yes","yes","0","NO AUDIO IN SHIPPING"
"S33a48864","Eyes Meet Again","S33a","260701_TEXAS WIVES_1","2026-07-02","yes","yes","0","NO AUDIO IN SHIPPING"
"S33a48874","Feel Great Today","S33a","260701_TEXAS WIVES_1","2026-07-02","yes","yes","0","NO DESCRIPTION; NO AUDIO IN SHIPPING"
"S33a48884","Heartstrings In Love","S33a","260701_TEXAS WIVES_1","2026-07-02","yes","yes","0","NO AUDIO IN SHIPPING"
"S33a48894","Holding You For Keeps","S33a","260701_TEXAS WIVES_1","2026-07-02","yes","yes","0","NO DESCRIPTION; NO AUDIO IN SHIPPING"
"S33a48904","Imperfect Feelings","S33a","260701_TEXAS WIVES_1","2026-07-02","yes","yes","5","NO DESCRIPTION"
"S33a48914","No Shadows Left","S33a","260701_TEXAS WIVES_1","2026-07-02","yes","yes","5",""
"S33a48924","Nothing Matters More","S33a","260701_TEXAS WIVES_1","2026-07-02","yes","yes","5",""
"S33a48934","Postcards From Better Places","S33a","260701_TEXAS WIVES_1","2026-07-02","yes","yes","5",""
"S33a48944","Slow Dry Wind","S33a","260701_TEXAS WIVES_1","2026-07-02","yes","yes","5",""
"S33a48954","The Dry Sand Caravans","S33a","260701_TEXAS WIVES_1","2026-07-02","yes","yes","5",""
"S33a48964","Those Brighter Days","S33a","260701_TEXAS WIVES_1","2026-07-02","yes","yes","5",""
"S33a48974","Whispers Of The Dark Wind","S33a","260707_TEXAS WIVES_2","2026-07-02","yes","yes","5",""
"S33a48984","All The Money Is Burning Down","S33a","260707_TEXAS WIVES_2","2026-07-08","yes","yes","5",""
"S33a48994","Alone With Money","S33a","260708_TEXAS WIVES_3","2026-07-08","yes","yes","5",""
"S33a49004","They're Almost There","S33a","260708_TEXAS WIVES_3","2026-07-08","yes","yes","7",""
"S33a49014","Back To When It Was Good","S33a","260708_TEXAS WIVES_3","2026-07-08","yes","yes","7",""
"S33a49024","Backroad Radio","S33a","260708_TEXAS WIVES_3","2026-07-08","yes","yes","7",""
"S33a49034","Barnlight Steps","S33a","260708_TEXAS WIVES_3","2026-07-08","yes","yes","7",""
"S33a49044","Begin Bright Tomorrow","S33a","260708_TEXAS WIVES_3","2026-07-08","yes","yes","7",""
"S33a49054","Down Main Street","S33a","260708_TEXAS WIVES_3","2026-07-08","yes","yes","7",""
"S33a49064","Dust And Dunes","S33a","260708_TEXAS WIVES_3","2026-07-08","yes","yes","7",""
"S33a49074","Among These Trees","S33a","260708_TEXAS WIVES_3","2026-07-14","yes","yes","7",""
